item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/27),"3,341",1일전 (01/26),"3,319",1주일전 (01/20),"3,236",2주일전 (01/13),"3,185",1개월전,296,1년전,318,일평년,322,2021-01-27
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/27),"2,469",1일전 (01/26),"2,469",1주일전 (01/20),"2,457",2주일전 (01/13),"2,411",1개월전,219,1년전,235,일평년,248,2021-01-27
감자,152,대지마(1kg),02,상품,04,100g,당일 (01/27),"6,271",1일전 (01/26),"6,271",1주일전 (01/20),-,2주일전 (01/13),-,1개월전,-,1년전,-,일평년,639,2021-01-27
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/28),"3,053",1일전 (01/27),"2,998",1주일전 (01/21),"2,999",2주일전 (01/14),"2,990",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-28
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/28),"6,522",1일전 (01/27),"6,531",1주일전 (01/21),"6,369",2주일전 (01/14),"6,114",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-28
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/28),"5,076",1일전 (01/27),"5,076",1주일전 (01/21),"4,781",2주일전 (01/14),"4,599",1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-28
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/28),"3,496",1일전 (01/27),"3,341",1주일전 (01/21),"3,257",2주일전 (01/14),"3,155",1개월전,296,1년전,318,일평년,322,2021-01-28
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/28),"2,531",1일전 (01/27),"2,469",1주일전 (01/21),"2,469",2주일전 (01/14),"2,517",1개월전,219,1년전,235,일평년,248,2021-01-28
감자,152,대지마(1kg),02,상품,04,100g,당일 (01/28),"6,271",1일전 (01/27),"6,271",1주일전 (01/21),-,2주일전 (01/14),-,1개월전,-,1년전,-,일평년,639,2021-01-28
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/29),"3,053",1일전 (01/28),"3,053",1주일전 (01/22),"2,998",2주일전 (01/15),"2,992",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-29
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/29),"6,522",1일전 (01/28),"6,522",1주일전 (01/22),"6,389",2주일전 (01/15),"6,122",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-29
